event,method,day,rolling_ll,z
COVID,mps_chi2,6,-33.50171774736413,2.4551739029168504
COVID,mps_chi2,7,-17.927043811347644,3.2835066415452427
COVID,mps_chi2,8,-14.932735520208832,3.4427577178301236
COVID,mps_chi2,9,-15.448790971628455,3.4153115172152906
COVID,mps_chi2,10,-24.676488236328936,2.9245401676573897
COVID,mps_chi2,11,-28.97652483034195,2.695844459307163
COVID,mps_chi2,12,-26.093217874601113,2.8491919744311915
COVID,mps_chi2,13,-29.570568601794392,2.6642504814111354
COVID,mps_chi2,14,-34.38438276961349,2.4082297204463248
COVID,mps_chi2,15,-34.21201980051974,2.4173967752953756
COVID,mps_chi4,0,-61.46479628199443,0.5246940487389395
COVID,mps_chi4,1,-46.16207574615785,1.429174385130764
COVID,mps_chi4,2,-54.93807581962846,0.9104614229461333
COVID,mps_chi4,3,-73.63137784741802,-0.19442212156961672
COVID,mps_chi4,4,-67.68130971692766,0.1572617252089383
COVID,mps_chi4,5,-51.08948735984741,1.137935523161488
COVID,mps_chi4,6,-47.69890586789442,1.338338731285414
COVID,mps_chi4,7,-34.33518223623612,2.1282130034779487
COVID,mps_chi4,8,-16.454447376384884,3.1850690731615816
COVID,mps_chi4,9,-16.97137586320439,3.1545155744843965
COVID,mps_chi4,10,-21.84672343130978,2.866354002292033
COVID,mps_chi4,11,-27.539547911896793,2.5298747606328336
COVID,mps_chi4,12,-24.66589490676331,2.6997244700795737
COVID,mps_chi4,13,-29.546152219411997,2.411272703252491
COVID,mps_chi4,14,-47.722525760382055,1.3369426574139265
COVID,mps_chi4,15,-44.12417043728128,1.5496265148674846
COVID,mps_chi8,0,-64.37521953553909,-0.4891088623068064
COVID,mps_chi8,1,-60.41156437252543,-0.23567288908783313
COVID,mps_chi8,2,-54.851162865653045,0.11985898980321517
COVID,mps_chi8,3,-72.89274967572118,-1.033719443126788
COVID,mps_chi8,4,-68.33491200154765,-0.7422914608171448
COVID,mps_chi8,5,-52.41527022306928,0.2756098806200576
COVID,mps_chi8,6,-46.05311227924501,0.6824060381949716
COVID,mps_chi8,7,-39.93408491987353,1.073656434659013
COVID,mps_chi8,8,-22.615814036421842,2.1809860724068826
COVID,mps_chi8,9,-23.09299392930499,2.150475206658053
COVID,mps_chi8,10,-26.48828036516831,1.9333807100782971
COVID,mps_chi8,11,-31.744213001215925,1.5973165601946557
COVID,mps_chi8,12,-25.859234950274807,1.97360185202074
COVID,mps_chi8,13,-30.391851659705964,1.683786497319232
COVID,mps_chi8,14,-34.46731262064812,1.4232016652706754
COVID,mps_chi8,15,-32.080151615446404,1.5758366568887885
TerraLuna,gaussian,0,14.988915362031232,0.1732239196011503
TerraLuna,gaussian,1,11.145076157779053,-0.2865821749232523
TerraLuna,gaussian,2,13.906769580014888,0.04377593822238851
TerraLuna,gaussian,3,14.443144993855505,0.10793800930073524
TerraLuna,gaussian,4,20.922761765250325,0.8830399642352702
TerraLuna,gaussian,5,31.230865199793687,2.1161115185676476
TerraLuna,gaussian,6,23.996861524928477,1.2507686150883983
TerraLuna,gaussian,7,20.60140334549305,0.8445985643536971
TerraLuna,gaussian,8,19.578029605542806,0.7221809871343347
TerraLuna,gaussian,9,20.574229514699436,0.841347987951683
TerraLuna,gaussian,10,9.948767136165682,-0.42968654267720213
TerraLuna,gaussian,11,12.66343921735452,-0.10495319634339925
TerraLuna,gaussian,12,14.496969854614404,0.11437662384696579
TerraLuna,gaussian,13,13.809588124646842,0.03215093960029543
TerraLuna,gaussian,14,16.752723753912115,0.38421345507988475
TerraLuna,gaussian,15,13.943977923655213,0.04822685884207872
TerraLuna,t,0,18.792336094042156,0.2640145957937098
TerraLuna,t,1,11.294784538207903,-0.6474251749012355
TerraLuna,t,2,14.970147862114281,-0.2006296737012307
TerraLuna,t,3,15.418233818266337,-0.14615810947316554
TerraLuna,t,4,21.0132174453448,0.5339960123265274
TerraLuna,t,5,19.80665839550474,0.38732067498117845
TerraLuna,t,6,15.579602051887889,-0.12654138196496634
TerraLuna,t,7,10.445917216613564,-0.7506177213189158
TerraLuna,t,8,11.068264602931336,-0.6749620682895379
TerraLuna,t,9,12.98178839248409,-0.44234457029952606
TerraLuna,t,10,18.9000505946022,0.2771089078447647
TerraLuna,t,11,19.47931630385719,0.3475273372857699
TerraLuna,t,12,15.676695659171122,-0.11473819868584477
TerraLuna,t,13,14.349248774292116,-0.2761092643402531
TerraLuna,t,14,14.848467084099235,-0.21542179611427564
TerraLuna,t,15,13.21341705090866,-0.4141866350391025
TerraLuna,mps_chi2,0,-73.10818216984457,-0.5934540707429049
TerraLuna,mps_chi2,1,-70.14835055619015,-0.4118632951536749
TerraLuna,mps_chi2,2,-53.052441406384375,0.637000223836603
TerraLuna,mps_chi2,3,-56.5177466789648,0.42439776726496414
TerraLuna,mps_chi2,4,-56.517746678964805,0.4243977672649637
TerraLuna,mps_chi2,5,-42.25717299929516,1.2993085638427737
TerraLuna,mps_chi2,6,-57.068538615499044,0.390605731771412
TerraLuna,mps_chi2,7,-74.16444776530483,-0.6582577872188664
TerraLuna,mps_chi2,8,-67.03152674655047,-0.22064077750894925
TerraLuna,mps_chi2,9,-49.9356175967447,0.8282227414813282
TerraLuna,mps_chi2,10,-64.19619127641434,-0.046688055096481315
TerraLuna,mps_chi2,11,-61.48353534840409,0.11973806576852063
TerraLuna,mps_chi2,12,-61.48353534840409,0.11973806576852063
TerraLuna,mps_chi2,13,-80.39841452982522,-1.0407224026194213
TerraLuna,mps_chi2,14,-97.494323679631,-2.0895859216096992
TerraLuna,mps_chi2,15,-78.57944449820987,-0.9291254532217573
TerraLuna,mps_chi4,0,-48.201631965362566,0.025904039134153154
TerraLuna,mps_chi4,1,-46.58177374109684,0.12720069845870074
TerraLuna,mps_chi4,2,-37.28376378361721,0.7086450081827843
TerraLuna,mps_chi4,3,-40.55328688462603,0.5041877521369618
TerraLuna,mps_chi4,4,-27.50600777573018,1.3200898892546749
TerraLuna,mps_chi4,5,-28.14075655801218,1.280396334477906
TerraLuna,mps_chi4,6,-36.620426387144974,0.7501263312153226
TerraLuna,mps_chi4,7,-53.93626488381509,-0.3327070716345934
TerraLuna,mps_chi4,8,-49.35594138745021,-0.046279863464686974
TerraLuna,mps_chi4,9,-45.087381999675955,0.22065140226751528
TerraLuna,mps_chi4,10,-47.50421816058625,0.06951630564759233
TerraLuna,mps_chi4,11,-56.677362791356984,-0.5041196414237581
TerraLuna,mps_chi4,12,-42.3046575486971,0.3946670577627169
TerraLuna,mps_chi4,13,-60.782741606890994,-0.7608465284103467
TerraLuna,mps_chi4,14,-68.1129160363002,-1.2192336704714715
TerraLuna,mps_chi4,15,-60.77987581661737,-0.7606673182938721
TerraLuna,mps_chi8,0,-59.15803986334869,-1.1275566813452638
TerraLuna,mps_chi8,1,-57.218890362813035,-0.996575505094628
TerraLuna,mps_chi8,2,-51.87059465018229,-0.6353212216146287
TerraLuna,mps_chi8,3,-55.73278811038909,-0.8961957143681065
TerraLuna,mps_chi8,4,-42.21066120379082,0.017165574767859532
TerraLuna,mps_chi8,5,-32.382439568157835,0.6810195117291707
TerraLuna,mps_chi8,6,-49.92814413092847,-0.5041170758021254
TerraLuna,mps_chi8,7,-67.1385049344419,-1.666602640282498
TerraLuna,mps_chi8,8,-61.89415026990244,-1.3123691258231234
TerraLuna,mps_chi8,9,-58.205916372987275,-1.0632448504787162
TerraLuna,mps_chi8,10,-68.03413800862026,-1.7270987874400274
TerraLuna,mps_chi8,11,-58.67560075019942,-1.094970002240765
TerraLuna,mps_chi8,12,-44.79097755233544,-0.1571236537510147
TerraLuna,mps_chi8,13,-63.1628079249338,-1.398061472838905
TerraLuna,mps_chi8,14,-66.61761495022863,-1.6314187708538734
TerraLuna,mps_chi8,15,-48.24578457763027,-0.39048095176598313
SVB,gaussian,0,-81.68022447330348,-14.855909015521698
SVB,gaussian,1,-84.18215167313842,-15.221280016201849
SVB,gaussian,2,-54.11792511409928,-10.830825912151331
SVB,gaussian,3,-62.265928263558166,-12.020726267549055
SVB,gaussian,4,10.295311965380382,-1.424185746790006
SVB,gaussian,5,3.4998484273356736,-2.4165668652912484
SVB,gaussian,6,5.038028434222216,-2.191937480239831
SVB,gaussian,7,-0.08061693255185887,-2.939443075090252
SVB,gaussian,8,3.9857640216753025,-2.3456057809872477
SVB,gaussian,9,3.1721936770651133,-2.4644161967953218
SVB,gaussian,10,8.591913818907605,-1.6729428990263038
SVB,gaussian,11,11.784193497226898,-1.2067557051721494
SVB,gaussian,12,16.697544895489948,-0.4892303842135586
SVB,gaussian,13,19.134638983973893,-0.13332734038406313
SVB,gaussian,14,19.546601026898088,-0.07316612391246359
SVB,gaussian,15,18.070757879640976,-0.28869209429075854
SVB,t,0,-21.323457247354106,-5.835599863076924
SVB,t,1,-23.046795043970416,-6.078581639802564
SVB,t,2,-4.785359800973123,-3.5038130775300327
SVB,t,3,-11.111365134627246,-4.395747333579647
SVB,t,4,12.57019069014321,-1.0567696118420975
SVB,t,5,7.000049073004372,-1.8421309666520709
SVB,t,6,8.356639014266271,-1.6508587535878925
SVB,t,7,3.3822877633271116,-2.3522167272734813
SVB,t,8,5.701396620336558,-2.025234291443008
SVB,t,9,4.7056947812241425,-2.1656231359467113
SVB,t,10,9.119989882973956,-1.543230202349804
SVB,t,11,11.704856265762539,-1.1787773205517365
SVB,t,12,16.897837955687102,-0.4465935780497934
SVB,t,13,19.476726806327996,-0.08298349757862306
SVB,t,14,19.59671807554638,-0.06606534500082113
SVB,t,15,17.592060838011705,-0.3487117177888346
SVB,mps_chi2,0,-67.47156936985022,0.20794164265202708
SVB,mps_chi2,1,-67.25633770148889,0.22466481262504817
SVB,mps_chi2,2,-65.99119446596897,0.3229644983957273
SVB,mps_chi2,3,-63.886034226890374,0.48653221483165543
SVB,mps_chi2,4,-57.37300771534254,0.992584368869495
SVB,mps_chi2,5,-61.02154665999315,0.7090984980907197
SVB,mps_chi2,6,-51.02387180707433,1.4859024748163026
SVB,mps_chi2,7,-66.169323716043,0.3091241293234876
SVB,mps_chi2,8,-74.91056865447328,-0.3700571732893504
SVB,mps_chi2,9,-80.41252784946853,-0.7975509501255135
SVB,mps_chi2,10,-90.76961107042236,-1.6022804048912764
SVB,mps_chi2,11,-89.17677939905955,-1.4785198310806722
SVB,mps_chi2,12,-89.17677939905957,-1.4785198310806733
SVB,mps_chi2,13,-76.97445542232416,-0.530418004418981
SVB,mps_chi2,14,-76.28909934287496,-0.4771668899527252
SVB,mps_chi2,15,-71.89809129942454,-0.13599231084641578
SVB,mps_chi4,0,-84.49638445247054,-1.2179116140229929
SVB,mps_chi4,1,-84.49638445247054,-1.2179116140229929
SVB,mps_chi4,2,-68.17798446823801,0.036205744259770356
SVB,mps_chi4,3,-71.82027841750254,-0.24371533073254317
SVB,mps_chi4,4,-65.98215453871038,0.204961776292217
SVB,mps_chi4,5,-70.62378230175732,-0.15176106136030887
