Date,XLK,XLF,XLE,XLV,SPY,TLT,GLD,HYG
2022-04-22,69.36661529541016,33.7187614440918,33.11258316040039,125.11296844482422,403.1505126953125,103.47277069091797,180.2899932861328,62.885013580322266
2022-04-25,70.40896606445312,33.774696350097656,32.01752471923828,125.9553451538086,405.4877624511719,104.50758361816406,177.0500030517578,63.41659927368164
2022-04-26,67.78614807128906,32.926368713378906,32.06098175048828,123.73705291748047,393.7445068359375,105.55963897705078,177.32000732421875,63.043697357177734
2022-04-27,68.78970336914062,32.89840316772461,32.53030014038086,123.46562194824219,394.8516540527344,104.20572662353516,175.97999572753906,62.73428726196289
2022-04-28,71.54342651367188,33.31790542602539,33.51670837402344,125.16910552978516,404.82537841796875,104.3609619140625,176.92999267578125,63.08336639404297
2022-04-29,68.56183624267578,32.171260833740234,32.65630340576172,121.9493179321289,389.86480712890625,103.00709533691406,176.91000366210938,62.30583953857422
2022-05-02,69.60417938232422,32.18058776855469,33.17776107788086,121.19117736816406,392.2115478515625,101.22156524658203,173.6300048828125,62.3098258972168
2022-05-03,69.72539520263672,32.600101470947266,34.10771179199219,121.57493591308594,394.009521484375,101.90399169921875,174.08999633789062,62.636390686035156
2022-05-04,72.17366790771484,33.59757614135742,35.52432632446289,124.27053833007812,406.0081481933594,102.46546173095703,175.8000030517578,63.27358627319336
2022-05-05,68.70243072509766,32.61873245239258,34.98983383178711,121.8557357788086,391.57757568359375,99.65809631347656,175.1300048828125,62.150516510009766
2022-05-06,68.14974212646484,32.385677337646484,36.032745361328125,121.47196960449219,389.24029541015625,98.1895980834961,175.4199981689453,61.800048828125
2022-05-09,65.51238250732422,31.611928939819336,33.0517463684082,118.3270492553711,376.7778015136719,99.05342102050781,172.8800048828125,61.14692687988281
2022-05-10,66.51110076904297,31.332258224487305,33.35158157348633,118.74826049804688,377.6484069824219,99.95178985595703,171.4199981689453,61.49739456176758
2022-05-11,64.41185760498047,31.04326629638672,33.79917526245117,117.96202850341797,371.6490173339844,101.87808990478516,172.82000732421875,61.13102722167969
2022-05-12,63.74766540527344,30.810205459594727,33.94257736206055,119.10392761230469,371.2610168457031,101.68802642822266,170.1699981689453,61.10710525512695
2022-05-13,65.86629486083984,31.257673263549805,35.102806091308594,120.36751556396484,380.1370544433594,100.18500518798828,168.7899932861328,61.17881393432617
2022-05-16,65.2845230102539,30.99665069580078,36.02840042114258,121.25670623779297,378.5946960449219,100.08132934570312,170.39999389648438,61.091182708740234
2022-05-17,67.17528533935547,31.826339721679688,36.44557571411133,122.92274475097656,386.3825378417969,98.87203216552734,169.3300018310547,61.03543472290039
2022-05-18,64.1015853881836,30.950042724609375,35.51128387451172,119.74974822998047,370.8068542480469,100.97974395751953,169.4199981689453,60.53364181518555
2022-05-19,63.39861297607422,30.744958877563477,35.38092803955078,120.01183319091797,368.53570556640625,101.22156524658203,171.91000366210938,60.939849853515625
2022-05-20,63.53921890258789,30.68901824951172,35.533016204833984,121.47196960449219,368.6965637207031,102.37046813964844,172.02999877929688,60.90004348754883
2022-05-23,64.99849700927734,31.68650245666504,36.47164535522461,122.53897857666016,375.59503173828125,100.68601989746094,172.8300018310547,61.13896179199219
2022-05-24,64.0337142944336,31.621244430541992,36.61069869995117,122.90399932861328,372.7277526855469,102.67279052734375,174.1300048828125,61.505348205566406
2022-05-25,64.78030395507812,31.87294578552246,37.366817474365234,122.86660766601562,376.020751953125,103.0787582397461,173.0800018310547,62.437255859375
